code,attrition,treatment,gender,educ,employ1,ethn,entity,age,bosniak,croat,serb,time_usage,freq_usage,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,othersm_1,othersm_2,othersm_3,othersm_4,othersm_5,freq_news,politics_int,numb_forums,trust_media.1,imp_family,imp_career,imp_relg,imp_neigh,imp_ethn,imp_hobby,imp_cntry,matched_percentage.3,percentage_bosniak.3,percentage_serbian.3,percentage_croatian.3,activ,satisf,depression,loneliness,nerv,boredom,joy,isol,fulf,no_friends,freq_fbnews,fbnews_st1,fbnews_st2,fbnews_st3,fbnews_st4,fbnews_st5,fbnews_st6,fbnews_st7,fbnews_st8,outfeel_therm,infeel_therm,trust_pol,trust_inst,trust_media,trust_police,trust_ngo,trust_relg,sd,agr_st1,agr_st2,agr_st3,agr_st4,trust_gov,agr_st5,agr_st6,agr_st7,agr_st8,agr_st9,agr_st10,agr_st11,agr_st12,agr_st13,agr_st14,agr_st15,oth_honest,oth_patriot,oth_broadv,oth_gener,oth_hyp,oth_self,oth_unreliab,oth_intel,oth_evil,in_honest,in_patriot,in_evil,in_broadv,in_gener,in_hyp,in_self,in_unreliab,in_intel,online_data
1,0,0,2,4,1,0,1,29,0.042,0.028,0.896,4,4,0,1,1,3,3,0,1,4,5,0,3,0,0,2,1,1,1,4,3,3,3,3,3,3,NA,NA,NA,NA,2,5,2,2,2,2,4,1,4,4,1,0,-1,0,1,0,1,1,1,60,90,2,3,1,2,3,2,6,-3,-2,-2,-2,4,7,-1,2,-2,3,3,-1,1,-1,1,-1,0,-1,0,-1,0,0,0,0,0,0,-2,0,0,0,0,0,-1,0,0
2,0,0,2,4,1,3,1,34,0.042,0.028,0.896,4,4,2,2,2,3,2,2,3,1,0,0,4,0,0,4,1,1,0,4,3,3,4,3,3,3,NA,NA,NA,NA,6,4,2,2,1,1,5,1,4,3,2,-1,0,1,1,-1,1,1,1,71,76,2,2,1,4,4,3,6,0,-3,-3,-1,3,4,0,4,0,1,1,-1,-1,-2,0,3,0,-2,1,1,1,0,-1,0,0,0,-1,-1,-2,0,0,4,1,0,0
3,0,1,2,2,0,3,1,36,0.042,0.028,0.896,4,4,1,1,1,1,1,1,0,2,5,0,5,0,0,0,0,1,0,4,0,0,3,0,3,2,39.65517241,4.347826087,60.86956522,34.7826087,"1,2",4,2,2,3,1,4,3,4,2,3,0,0,0,0,0,-1,0,1,90,90,1,1,1,2,2,1,5,-3,-3,-3,-2,2,4,-2,4,-2,3,3,-3,-2,-2,2,3,-3,-1,-3,-4,-2,-4,-4,-2,-2,2,3,2,3,3,3,3,2,3,1
4,0,1,1,2,1,-5,1,38,0.042,0.028,0.896,4,4,3,3,3,4,3,2,1,1,0,0,3,0,0,5,2,2,2,4,3,3,3,4,3,1,NA,NA,NA,NA,"4,6",3,1,2,2,1,4,2,3,3,3,1,1,1,0,0,1,1,1,60,80,1,1,1,2,2,3,6,-3,-3,-1,3,3,7,3,7,3,3,3,-3,-3,-2,-2,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0
5,0,1,2,3,1,-1,3,44,0.042,0.028,0.896,4,4,1,2,2,3,4,1,3,4,5,2,5,0,0,5,1,1,1,4,3,2,1,2,3,2,79.55555556,9.217877095,52.79329609,37.98882682,"1,4,5",5,2,1,3,1,4,1,4,2,3,1,1,0,0,-1,0,0,-1,50,70,1,2,1,2,3,1,6,-3,-3,-3,-3,0,4,-3,1,-3,3,3,-3,-3,-3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,2,2,1,3,1,29,0.042,0.028,0.896,4,4,3,2,2,4,4,3,1,4,5,0,4,0,0,5,1,1,1,4,3,2,1,2,3,1,73.50800582,6.600660066,57.19471947,36.20462046,3,4,3,3,4,3,4,3,4,4,3,0,1,0,1,0,0,1,0,92,94,2,2,1,3,4,1,6,-3,-3,-3,-1,0,7,3,2,-2,2,1,-2,-2,-3,-3,3,-2,-4,-1,-2,0,0,0,0,1,2,1,2,-1,-1,-1,-1,-1,0,1
7,0,1,1,4,0,2,2,21,0.042,0.028,0.896,4,4,2,3,1,4,2,2,1,4,0,0,5,1,1,5,2,3,1,3,3,2,2,3,3,2,72.09302326,1.290322581,65.80645161,32.90322581,"2,3,6",3,1,1,3,3,4,1,3,3,3,1,0,0,1,0,1,1,1,70,90,1,1,0,3,2,2,7,-3,-3,-3,-3,0,4,-1,7,-1,3,3,-3,-3,-3,0,2,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1
8,0,0,1,2,1,1,1,28,0.042,0.028,0.896,4,4,2,2,1,1,2,3,2,2,3,0,5,0,0,5,4,3,2,4,2,3,1,3,4,1,77.46268657,1.156069364,63.68015414,35.16377649,6,4,1,2,3,2,4,2,3,3,3,1,0,0,1,1,0,1,1,70,50,1,1,1,1,3,4,7,-3,-3,-3,-3,1,4,0,1,-3,-3,-3,-3,-3,-3,-3,-3,-2,0,-1,-2,-2,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1
9,0,0,2,2,0,1,1,36,0.042,0.028,0.896,3,4,1,2,1,3,3,1,2,0,0,0,3,0,0,2,1,1,2,3,2,2,2,2,2,3,NA,NA,NA,NA,4,2,3,3,3,2,3,4,2,4,2,0,0,0,0,0,0,1,0,82,85,1,2,1,3,3,1,6,-3,-3,-3,-2,1,6,2,6,-3,3,2,-2,-2,-2,0,3,-3,0,0,-2,0,2,0,0,4,0,1,3,1,1,-1,0,0,0,0
10,0,0,2,4,0,2,2,24,0.042,0.028,0.896,4,3,0,2,1,3,3,1,1,2,5,1,4,0,0,5,2,1,1,4,2,1,2,1,3,3,NA,NA,NA,NA,5,4,3,2,3,2,3,1,3,4,0,0,0,0,1,-1,1,1,1,62,91,2,2,2,1,3,1,6,-3,-3,-3,-3,2,2,3,2,-2,3,3,1,-1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,2,4,0,2,2,28,0.042,0.028,0.896,4,4,2,2,2,3,2,2,2,2,5,1,5,0,0,5,1,2,2,4,3,3,4,3,3,4,NA,NA,NA,NA,"1,4,6",4,2,2,3,2,4,3,3,3,1,0,0,-1,1,0,1,1,0,50,94,2,2,1,2,2,2,6,-2,-3,-3,-1,2,4,0,4,1,3,3,-3,-3,0,-3,3,0,-3,1,1,0,-2,-4,0,0,-3,-3,0,-2,0,0,-2,0,1,0
12,0,0,2,3,0,3,1,54,0.042,0.028,0.896,4,4,3,4,2,3,2,2,2,4,0,0,5,0,0,5,2,1,1,4,2,1,2,1,2,3,81.91489362,7.792207792,55.84415584,36.36363636,4,5,1,1,3,1,4,1,4,2,3,1,1,0,1,0,-1,1,1,100,39,1,1,1,1,4,1,7,-3,-3,-3,-1,0,1,3,3,-1,3,3,-3,-3,-1,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,1,2,2,0,2,2,25,0.042,0.028,0.896,4,4,0,0,1,1,3,1,1,0,0,1,5,1,0,4,4,2,2,4,4,3,1,4,2,0,NA,NA,NA,NA,3,4,1,1,1,2,3,1,3,1,3,-1,0,1,-1,1,0,1,1,0,100,2,5,1,5,1,4,4,2,3,1,3,4,4,3,3,3,1,3,2,2,1,-3,-3,3,-4,4,1,0,-4,-1,0,-4,0,-4,-4,4,4,0,-4,-4,4,0
14,0,0,2,2,0,0,1,24,0.042,0.028,0.896,4,4,0,2,0,4,4,2,3,4,5,0,3,0,0,4,2,2,1,4,2,1,2,4,2,1,NA,NA,NA,NA,1,4,3,1,3,1,4,1,4,3,2,0,1,0,1,0,0,0,1,50,71,1,1,0,2,2,1,6,-3,-3,-3,-3,1,1,0,7,-3,3,3,-3,-3,-3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,2,2,1,1,1,40,0.042,0.028,0.896,4,4,2,0,2,2,1,0,1,1,5,0,2,0,0,4,1,1,1,4,3,3,3,3,2,3,NA,NA,NA,NA,1,4,2,2,2,2,4,2,5,4,1,-1,0,-1,-1,0,-1,1,0,91,90,1,2,1,3,2,2,6,-2,-2,-3,-3,4,4,1,6,2,3,3,-2,-2,-2,0,3,2,-3,0,-1,-2,-2,-2,-2,0,0,-2,0,-1,-1,-1,-2,-2,-2,0
